,log_price
165,4.343805421853684
166,4.007333185232471
167,4.382026634673881
168,5.0106352940962555
169,3.970291913552122
170,4.219507705176107
171,4.382026634673881
172,4.248495242049359
173,5.6937321388027
174,4.709530201312334
175,3.5553480614894135
176,4.248495242049359
177,4.02535169073515
178,4.007333185232471
179,3.8066624897703196
180,5.420534999272286
181,4.553876891600541
182,3.6635616461296463
183,3.5263605246161616
184,4.07753744390572
185,4.219507705176107
186,3.4011973816621555
187,2.70805020110221
188,5.303304908059076
189,4.007333185232471
190,4.605170185988092
191,4.0943445622221
192,4.04305126783455
193,5.749392985908253
194,3.8066624897703196
195,4.442651256490317
196,4.007333185232471
197,3.4011973816621555
198,4.248495242049359
199,3.1354942159291497
200,3.6888794541139363
201,3.4339872044851463
202,4.0943445622221
203,3.5553480614894135
204,4.499809670330265
205,3.7612001156935624
206,4.430816798843313
207,4.787491742782046
208,4.564348191467836
209,4.060443010546419
210,3.58351893845611
211,4.23410650459726
212,4.584967478670572
213,3.912023005428146
214,4.77912349311153
215,4.8283137373023015
216,3.4657359027997265
217,4.1588830833596715
218,5.393627546352362
219,4.356708826689592
220,3.367295829986474
221,3.58351893845611
222,3.6888794541139363
223,3.6375861597263857
224,3.4657359027997265
225,3.2188758248682006
226,3.5263605246161616
227,4.248495242049359
228,3.6888794541139363
229,3.5263605246161616
230,3.7376696182833684
231,4.0943445622221
232,5.840641657373398
233,4.48863636973214
234,2.302585092994046
235,4.007333185232471
236,3.332204510175204
237,3.8918202981106265
238,3.5553480614894135
239,3.258096538021482
240,2.70805020110221
241,3.1354942159291497
242,3.6888794541139363
243,4.382026634673881
244,4.060443010546419
245,3.912023005428146
246,4.0943445622221
247,3.4011973816621555
248,3.912023005428146
249,3.8918202981106265
250,4.31748811353631
251,3.367295829986474
252,4.23410650459726
253,4.875197323201151
254,3.6375861597263857
255,3.58351893845611
256,3.6635616461296463
257,4.882801922586371
258,3.6888794541139363
259,4.1588830833596715
260,3.4339872044851463
261,3.4011973816621555
262,4.770684624465665
263,3.4339872044851463
264,3.8501476017100584
265,3.4657359027997265
266,4.897839799950911
267,4.174387269895637
268,4.04305126783455
269,3.6888794541139363
270,4.143134726391533
271,3.4339872044851463
272,4.189654742026425
273,4.04305126783455
274,3.5553480614894135
275,2.4849066497880004
276,4.248495242049359
277,4.276666119016055
278,3.6888794541139363
279,3.6888794541139363
280,4.919980925828125
281,3.912023005428146
282,4.836281906951478
283,2.1972245773362196
284,3.8918202981106265
285,3.713572066704308
286,3.871201010907891
287,3.8501476017100584
288,6.214608098422191
289,4.290459441148391
290,4.624972813284271
291,4.007333185232471
292,3.8066624897703196
293,3.8066624897703196
294,4.007333185232471
295,2.6390573296152584
296,3.4011973816621555
297,3.4011973816621555
298,4.5217885770490405
299,4.700480365792417
300,3.367295829986474
301,4.394449154672439
302,4.30406509320417
303,4.07753744390572
304,4.394449154672439
305,3.6635616461296463
306,3.6888794541139363
307,3.912023005428146
308,4.0943445622221
309,4.060443010546419
310,4.31748811353631
311,4.454347296253507
312,2.995732273553991
313,4.356708826689592
314,4.110873864173311
315,4.653960350157523
