id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_license,Dist_Acropolis,Dist_Syntagma
1294,1,1,1,PAGKRATI,Entire home/apt,4,1,1,45,2,1125,2,1125,1.6,1125,1,0,0,0,0,70,1,1.33,1,1.684323288,1.008122177
1295,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,4,1.5,2,65,2,1125,2,1125,2,1125,1,11,40,70,345,85,1,1.67,1,1.772133775,1.339595877
1296,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1,2,45,2,25,2,25,2,25,1,17,47,77,352,8,1,0.16,1,1.228175708,0.421378484
1297,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,53,1,1124,1,1125,1,1125,1,22,50,80,355,535,1,9.13,1,0.407798473,0.710478244
1298,1,1,0,KERAMEIKOS,Entire home/apt,4,1,4,32,1,31,1,1125,1,1125,1,19,39,62,152,207,1,3.56,1,1.443771189,2.020432053
1299,0,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,2,1,1,41,2,90,2,1125,2,1125,1,1,23,53,328,12,1,0.21,1,0.567604488,1.050233329
1300,1,1,1,NEOS KOSMOS,Entire home/apt,2,1,1,59,1,90,1,99,1,99,1,0,0,0,0,108,1,2.63,1,1.927571389,2.568187917
1301,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,65,2,10,2,1125,2,1125,1,20,46,67,335,151,0,2.72,1,0.503455367,0.389386634
1302,0,1,1,KYPSELI,Private room,2,1,2,15,1,1125,1,1125,1,1125,1,17,47,77,77,127,1,2.38,1,2.978786648,2.510469341
1303,1,1,1,KYPSELI,Entire home/apt,2,1,1,24,1,1125,1,1125,1,1125,1,0,0,0,1,42,1,0.86,1,3.491990003,2.905609752
1304,0,1,0,PLATEIA ATTIKIS,Entire home/apt,5,1,4,28,3,90,3,90,3,90,1,0,0,0,204,111,0,2.09,1,2.388829221,2.094487392
1305,1,1,1,STATHMOS LARISIS,Entire home/apt,6,1,3,47,3,365,3,1125,3,1125,1,1,1,1,268,99,1,1.97,0,2.469131119,2.361047062
1306,0,1,1,KOLONAKI,Entire home/apt,8,1.5,4,121,2,30,2,1125,2,1125,1,20,40,40,41,24,1,0.41,0,1.532665076,0.671011837
1307,0,1,0,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1.5,2,135,5,1125,5,1125,5,1125,1,29,59,89,364,1,1,0.02,0,0.804382114,0.507888388
1308,0,1,1,EMPORIKO TRIGONO-PLAKA,Hotel room,3,1,3,77,1,30,1,30,1,30,1,25,55,85,222,0,1,1.2,1,0.580744591,0.434795079
1309,0,1,1,KYPSELI,Private room,2,1,2,14,1,1125,1,1125,1,1125,1,25,55,85,86,140,1,2.52,1,2.978786648,2.510469341
1310,0,1,0,KOLONAKI,Entire home/apt,2,1,1,50,1,30,1,30,1,30,1,29,59,89,89,7,0,0.13,0,1.86996902,1.006179699
1311,0,1,1,AMPELOKIPOI,Entire home/apt,4,1,2,31,3,1125,3,1125,3,1125,1,0,0,0,54,14,1,0.26,1,4.237006539,3.377736785
1312,0,1,0,PAGKRATI,Entire home/apt,3,1,1,24,6,90,6,90,6,90,1,0,0,0,54,3,0,0.05,0,2.300475486,1.723129966
1313,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,57,2,730,2,730,2,730,1,13,38,64,339,44,1,0.78,1,0.740416727,0.962896006
1314,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,30,2,15,2,1125,2,1125,1,0,19,49,304,160,1,2.84,1,1.52008649,1.167026431
1315,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,37,2,15,2,1125,2,1125,1,11,41,64,327,159,1,2.71,1,1.52008649,1.167026431
1316,1,1,1,AMPELOKIPOI,Entire home/apt,5,1,4,43,1,14,1,14,1,14,1,10,16,16,16,289,1,4.95,1,4.603552929,3.776852822
1317,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,1,52,1,40,2,365,2,365,1,7,31,61,286,175,1,3.04,1,0.634895748,0.618134657
1318,0,1,1,PLATEIA ATTIKIS,Entire home/apt,6,1.5,4,59,2,60,2,60,2,60,1,0,0,0,0,19,1,0.35,0,3.221343894,3.056394977
1319,0,1,1,PAGKRATI,Entire home/apt,4,1,3,40,14,30,14,30,14,30,1,0,0,0,122,6,0,0.11,1,2.079237091,1.328067657
1320,0,1,1,RIZOYPOLI,Entire home/apt,2,1,1,24,5,1125,5,1125,5,1125,1,0,24,54,329,19,1,0.34,1,6.63106137,6.129316471
1321,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,29,3,1125,3,1125,3,1125,1,18,48,64,64,29,1,0.78,1,1.488319662,1.391389266
1322,1,1,1,AKADIMIA PLATONOS,Entire home/apt,3,1,2,45,2,70,2,1125,2,1125,1,0,0,0,146,53,1,0.99,1,2.50670215,2.677379589
1323,1,1,1,KOLONAKI,Entire home/apt,6,2.5,3,280,4,21,4,21,4,21,1,24,54,84,175,12,0,0.22,1,1.546259544,0.730731093
1324,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,35,5,1125,5,1125,5,1125,1,0,25,55,187,8,0,3.16,0,1.354367903,0.64762148
1325,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,33,2,20,2,1125,2,1125,1,11,41,71,335,201,1,3.51,1,1.52008649,1.167026431
1326,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,29,2,15,2,1125,2,1125,1,4,21,51,306,316,1,5.52,1,1.52008649,1.167026431
1327,1,1,1,SEPOLIA,Entire home/apt,4,1,3,36,2,120,2,1125,2,1125,1,6,27,41,290,196,0,3.43,1,3.53791036,3.54352645
1328,1,1,0,EMPORIKO TRIGONO-PLAKA,Private room,6,3,2,100,1,1125,2,1125,2,1125,1,28,58,88,363,19,1,0.35,1,0.695941683,0.300809271
1329,0,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,4,1,2,24,3,1125,3,1125,3,1125,1,0,0,0,208,57,0,1.04,1,1.687603749,1.566411745
1330,0,1,1,LYKABITTOS,Entire home/apt,4,1,2,34,2,15,2,1125,2,1125,1,13,43,73,348,23,1,0.78,1,2.07024276,1.274849564
1331,0,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,4,1,2,25,2,180,2,1125,2,1125,1,4,12,35,296,334,1,5.74,1,1.919980191,1.871072261
1332,1,1,0,EMPORIKO TRIGONO-PLAKA,Private room,6,2,2,100,1,1125,2,1125,2,1125,1,21,51,81,356,53,1,1.03,1,0.80472452,0.464247902
1333,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,1,55,2,25,2,365,2,365,1,2,26,49,307,82,1,1.49,1,0.630611853,0.613568335
1334,0,1,1,THISEIO,Entire home/apt,3,1,2,49,5,60,5,60,5,60,1,0,18,48,323,75,0,1.34,1,0.954256937,1.690347929
1335,0,1,1,STADIO,Entire home/apt,4,1,2,57,1,1125,2,1125,2,1125,1,8,38,68,343,206,1,3.83,1,1.724973681,1.260173607
1336,1,1,1,PLATEIA ATTIKIS,Entire home/apt,6,2,3,60,1,1125,1,1125,1,1125,1,0,0,0,0,3,0,0.06,1,2.581177715,2.305706935
1337,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,4,1,2,50,1,1125,1,1125,1,1125,1,30,60,90,365,1,0,0.2,1,1.566630775,1.235897627
1338,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,2,32,2,1125,2,1125,2,1125,1,0,0,0,0,230,1,4.02,1,0.599772821,1.192717398
1339,1,1,1,THISEIO,Entire home/apt,4,1,3,49,2,365,7,365,2,365,1,15,42,69,159,343,1,6.09,1,0.772053427,1.431699007
1340,1,1,0,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,39,1,1125,1,1125,1,1125,1,16,45,75,112,300,1,5.31,0,2.410247174,1.631529403
1341,0,1,0,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1.5,2,487,1,1125,1,1125,1,1125,1,30,60,90,180,0,1,1.2,0,0.948682175,1.129664097
1342,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,6,1,2,70,1,1125,1,1125,1,1125,1,0,0,0,124,47,1,0.99,1,0.757354736,1.326353816
